device,metric1,metric2,metric3,years
S1F0E9EP,106791400,8,196552,26
S1F0EEP2,134846800,13,241377,28
S1F0EGMT,84554144,9,196324,28
S1F0EGSH,40237712,11,217110,23
S1F0F4EB,239412320,9,200197,35
S1F0F4G4,211877800,10,285843,19
S1F0FGBQ,22235264,9,170595,23
S1F0FP0C,170455152,9,199551,26
S1F0FVBE,220310848,14,287997,26
S1F0FW8K,148364576,92,219483,26
S1F0FZ8F,131456656,7,196271,23
S1F0G0XX,199608968,12,286864,34
S1F0G9ZF,298304,70,220132,38
S1F0GCED,236579432,8,200873,40
S1F0GG8X,38395328,11,187467,44
S1F0GGJD,729312,62,193739,48
S1F0GGPP,183315424,9,199329,29
S1F0GHJ1,42570952,58,220094,22
S1F0GJL9,54378424,63,222276,22
S1F0GJW3,118683272,8,201152,26
S1F0GKFX,107148272,65,223170,30
S1F0GKL6,234778096,90,221425,19
S1F0GPFZ,53071760,8,195262,17
S1F0GPXY,22380768,8,196205,17
S1F0GQCL,113057752,92,217629,17
S1F0GRB1,141979144,67,222055,25
S1F0GSD9,2373368,11,197582,25
S1F0GSHB,156384480,91,223965,25
S1F0GV0W,167290904,95,221821,22
S1F0H6JG,91780872,7,193033,22
S1F0H6JJ,146195960,32,249911,25
S1F0HWXJ,167636672,6,208328,19
S1F0J5JH,58802968,7,200198,23
S1F0JD7P,17000896,58,224281,24
S1F0JGJV,95214880,7,195474,31
S1F0JMRJ,111709616,39,254620,24
S1F0KY6R,128410712,14,284707,17
S1F0KYCR,175582800,9,198663,17
S1F0KZJJ,61131968,36,247392,21
S1F0L0DW,211717136,7,281947,21
S1F0L11K,205419560,6,205762,25
S1F0LBMG,210532624,7,281490,25
S1F0LBY2,129849824,11,444624,17
S1F0LC06,216641792,6,206400,21
S1F0LCKH,195863944,11,448235,25
S1F0LCQX,41300112,7,280015,22
S1F0LCS6,166809968,17,219974,22
S1F0LCSV,120472544,6,179427,22
S1F0LCTV,215846224,11,447025,22
S1F0LCVC,180474968,8,205331,26
S1F0LD15,142117744,6,281773,26
S1F0LD2C,168591160,12,436503,26
S1F0LD73,199920328,6,280756,26
S1F0LDB5,43449600,15,182232,26
S1F0LDED,165274944,7,199853,23
S1F0LDKM,108908712,7,206291,27
S1F0LDLW,63119808,7,206317,34
S1F0LE2X,47840256,16,196011,23
S1F0LEBM,151010312,5,200795,23
S1F0LHH2,121405080,8,198678,23
S1F0LL2X,216903096,6,206545,27
S1F0LLKM,68189000,11,200435,29
S1F0LQDQ,156881360,8,202765,29
S1F0LR01,81021168,9,169543,27
S1F0M2PQ,225018736,60,223751,27
S1F0MBV5,129543120,4,341740,16
S1F0P1K7,138312440,2,242939,26
S1F0P2B4,23533944,4,249201,26
S1F0P3G2,48342824,8,241097,21
S1F0PEVC,156787912,6,215682,21
S1F0PF59,24736600,6,243870,27
S1F0PF5Q,54443832,12,244150,27
S1F0PG6Z,151045488,10,200877,31
S1F0PGHQ,174166216,6,241256,31
S1F0PGZ6,124392280,5,243699,31
S1F0PJAJ,221601392,12,246536,25
S1F0PJJW,202194456,6,239294,24
S1F0PJZP,203872952,12,241018,28
S1F0PK2J,173213656,6,248974,20
S1F0PK70,13491816,7,212073,20
S1F0PL0R,81639352,6,220514,24
S1F0PL7D,121954672,6,240935,24
S1F0PLEL,224186232,7,217381,24
S1F0PXZL,172194432,8,380445,24
S1F0QF3R,87216432,12,200440,24
S1F0QWEQ,115814816,9,220023,26
S1F0QWGA,239161152,6,201423,26
S1F0QWGD,29108992,17,219413,26
S1F0QWPP,9983976,8,191439,26
S1F0QWV6,26328712,8,185511,30
S1F0QWWF,177648608,6,219810,30
S1F0QWYG,183009864,6,196719,30
S1F0QWZP,165690112,12,201601,30
S1F0QX41,156719232,17,220399,34
S1F0QX4C,155578104,12,186429,34
S1F0QXCB,232321216,8,201507,29
S1F0QXDD,137279848,8,188222,16
S1F0QXDQ,217184136,6,190378,16
S1F0QXM0,144456576,9,175469,23
S1F0QXNB,19363776,16,220025,23
S1F0QXRG,182117472,12,163552,25
S1F0QXTJ,98523584,17,217890,30
S1F0QXVD,35870128,6,217610,30
S1F0QXXH,29726472,13,216071,20
S1F0QXYA,218318296,13,186514,20
S1F0QXZS,199126528,9,191274,24
S1F0QY05,134076008,10,220123,24
S1F0QY0Q,241721712,5,209517,24
S1F0QY11,10684704,7,207615,28
S1F0QY1C,91742664,11,248836,28
S1F0QY71,96821064,13,216397,28
S1F0QY8S,30685944,11,191625,22
S1F0QYBJ,32919128,8,197503,26
S1F0QYJX,26388160,5,248589,26
S1F0QYLA,167760320,5,240983,28
S1F0QYMX,93625680,5,248423,28
S1F0QYND,62045856,6,248283,24
S1F0QYPA,30858600,8,185632,28
S1F0QYRB,238486208,10,211587,32
S1F0QYRS,126314952,11,218626,32
S1F0QYX3,208057056,16,219577,20
S1F0QYX4,23849392,8,189751,20
S1F0QYYB,201857416,11,244977,20
S1F0QZ0P,78973104,16,217411,24
S1F0QZSF,38293784,9,190676,19
S1F0QZXV,172431104,7,201766,23
S1F0QZYJ,169070552,11,248480,28
S1F0R0JT,51563264,17,218640,33
S1F0R0PX,4041152,12,216303,24
S1F0R12B,113161400,6,215453,22
S1F0R12Y,214843976,9,218320,22
S1F0R15Y,102455016,6,220307,22
S1F0R1GK,214204560,17,217588,24
S1F0R20R,142192576,10,218252,24
S1F0R2CW,44275160,9,219881,24
S1F0R2KW,177924640,8,217447,28
S1F0R2RJ,149103312,9,184664,28
S1F0R2S6,237004056,8,189307,28
S1F0R2SV,22472720,13,217823,21
S1F0R2VP,86072160,12,220900,25
S1F0R2VR,144964112,6,190174,29
S1F0R37Q,89922656,7,188654,26
S1F0R3FB,115946832,6,219725,19
S1F0R3JV,212851856,6,200292,24
S1F0R3LG,206216632,6,215753,19
S1F0R3N9,110363088,16,219047,19
S1F0R4JP,209839208,16,209646,19
S1F0R4JY,55982144,7,388778,23
S1F0R4Q8,88768680,6,196576,23
S1F0R4YC,111512096,11,216368,23
S1F0RG6V,218160168,8,186469,25
S1F0RKT7,233898336,9,334400,25
S1F0RM77,116885712,11,199046,25
S1F0RQLR,162608736,7,243063,29
S1F0RR0C,185880024,12,312015,29
S1F0RR2E,130143688,8,247052,29
S1F0RR35,194760840,12,262938,23
S1F0RR5M,114539208,10,193540,25
S1F0RR69,149775208,10,327793,25
S1F0RR7L,187633224,13,242528,17
S1F0RRB1,5230888,8,39267,22
S1F0RRDW,231173024,8,244580,22
S1F0RREN,50458400,11,198649,26
S1F0RRXY,186368056,6,385044,27
S1F0RS3B,210389736,7,246156,27
S1F0RS72,236979776,8,261930,25
S1F0RS81,112575408,13,246111,20
S1F0RSDT,44926784,8,194458,20
S1F0RSER,177948000,7,297599,21
S1F0RSFT,116685824,12,179065,23
S1F0RSG7,18876760,12,303792,23
S1F0RSML,161981144,13,383682,23
S1F0RSMR,187173072,9,242917,27
S1F0RSWJ,88896736,12,247964,27
S1F0RSXC,198574248,8,141203,27
S1F0RSZP,83001592,13,244022,25
S1F0RSZZ,14208288,12,194618,25
S1F0RTQV,162237912,10,388954,21
S1F0RV6Z,135874632,7,385271,20
S1F0RVG8,204393912,6,297123,30
S1F0RVVR,172280032,7,180778,24
S1F0S02A,49170880,7,244565,28
S1F0S0NC,148908960,7,193019,27
S1F0S1QK,183166568,7,384650,20
S1F0S2WJ,91505920,14,243951,37
S1F0S30R,11914784,13,236817,34
S1F0S33G,117494640,11,173444,25
S1F0S34C,27615232,13,199569,26
S1F0S34Q,211989544,13,195735,26
S1F0S351,229375968,8,247171,26
S1F0S363,220638992,11,387198,18
S1F0S382,200558600,13,243131,18
S1F0S387,181732808,12,243175,22
S1F0S3A3,148319888,6,191243,26
S1F0S3CR,194400080,7,382323,30
S1F0S3DF,92433864,8,190882,27
S1F0S454,103009368,6,383967,27
S1F0S49E,118734296,8,243546,27
S1F0S4CA,237105944,12,187913,23
S1F0S4EG,23890952,6,236710,20
S1F0S4G4,141861104,7,192396,27
S1F0S4GB,231317352,6,383380,27
S1F0S4MG,183233752,13,239664,23
S1F0S4QZ,99709176,7,331634,31
S1F0S4T6,71165536,9,243531,24
S1F0S4WV,145514928,10,193835,34
S1F0S4Y9,182406472,10,184060,20
S1F0S517,74907720,8,214914,25
S1F0S52H,238757760,12,262049,25
S1F0S537,57938952,8,246988,25
S1F0S561,175443328,13,237580,29
S1F0S57T,2412256,7,244766,29
S1F0S58D,54499064,12,197975,29
S1F0S5B2,45360768,8,296931,18
S1F0S5CE,218357112,9,261980,23
S1F0S5E9,34757536,14,243995,26
S1F0S5F0,213196216,12,243638,24
S1F0S5LP,3938344,8,246257,28
S1F0S5NE,56204560,7,302247,26
S1F0S5SR,157366080,7,211825,26
S1F0S5VX,59159008,8,190810,22
S1F0S5WJ,112948064,8,141568,22
S1F0S5YZ,33686696,9,237000,23
S1F0S613,9592272,9,193505,20
S1F0S62V,192776152,8,385663,18
S1F0S62Z,230440256,11,388823,23
S1F0S63A,41210152,6,221993,23
S1F0S649,99189504,11,243961,24
S1F0S65X,96429872,8,243166,32
S1F0S66R,183583176,13,237283,23
S1F0S68M,205042496,11,199589,27
S1F0S6AB,166668776,14,245002,44
S1F0S6B7,55485032,11,192272,24
S1F0S6EY,158719576,11,262163,24
S1F0S6FZ,85625416,8,242787,24
S1F0S6GZ,76974936,12,244034,18
S1F0S6HH,239359712,8,296290,18
S1F0S6L1,33848440,7,382888,18
S1F0S6VR,129768968,7,236525,18
S1F0S70T,110519536,9,244613,20
S1F0S7B7,123240752,13,300779,20
S1F0S7DN,96918904,8,297836,20
S1F0SAB1,150400544,13,217076,24
S1F0SAB3,92509456,9,190541,24
S1F0SAC1,131848624,6,191688,24
S1F0SBBW,22643312,10,190570,24
S1F0SBCL,33718904,12,190251,22
S1F0SBF5,162677928,6,200376,24
S1F0SBHA,179106792,12,240857,16
S1F0SBJA,181879600,11,241191,16
S1F0SBLG,125204000,7,191935,16
S1F0SBXC,63584856,17,219794,20
S1F0SC17,77129528,12,215543,20
S1F0SCHE,187728320,6,190935,20
S1F0SCPM,49037456,7,196789,24
S1F0SCT6,86604728,16,219685,24
S1F0T1AC,159022840,9,235981,24
S1F0T1BB,52430088,8,300884,28
S1F0T1K8,8786904,7,247591,28
S1F0T22E,33551984,11,380986,28
S1F0T24J,4781256,12,209721,32
S1F0T29K,101404624,7,257710,32
S1F0T2FN,141735040,8,244389,36
S1F0T2LA,160992856,10,247498,36
S1F0TBK9,184935888,13,246889,36
S1F0TCGQ,160862040,8,234943,31
S1F0TD9A,57089456,11,258849,36
S1F0TKSC,211072752,8,383457,40
S1F0TKW7,106913160,12,246431,24
S1F0TMLM,232306168,9,382621,24
S1F0TMRF,193818416,11,246088,24
S1F0TN84,24408880,7,387765,24
S1F0TNAB,215458768,9,381658,24
S1F0TND9,136269808,7,389189,25
S1F0TNNA,97601824,8,387806,29
S1F0TNSA,135128104,11,245385,24
S1F0TNW4,47212376,10,239884,24
S1F0TNYF,136505896,9,380944,28
S1F0TP5E,235271816,10,264086,28
S1F0TP6E,239330064,7,304258,24
S1F0TP75,91205960,10,194393,24
S1F0TP82,195799720,8,239097,26
S1F0TP8F,132854552,12,304223,19
S1F0TPH4,2573832,13,201367,19
S1F0TPJC,114457632,12,247207,23
S1F0TPK1,24628096,11,190011,23
S1F0TPMF,75398440,6,246840,17
S1F0TPS0,70738208,5,386724,17
S1F0TPYB,47855472,8,380544,25
S1F0TQ7S,40359432,7,381883,25
S1F0TQ9G,60578640,10,296813,25
S1F0TQCF,227900448,7,382327,18
S1F0TQCV,162065352,8,293733,18
S1F0TQEJ,118203872,6,381533,20
S1F0TQJ4,93069096,8,240944,24
S1F0TQLY,15850736,8,193450,26
S1F0TQNP,178963976,7,245325,25
S1F0TQP1,96581408,12,260926,28
S1F0TQQ1,2878712,12,256722,28
S1F0TQR9,188919264,11,195554,28
S1F0TQTF,40501256,12,242638,28
S1F0TQTH,168277768,9,381853,26
S1F0VE11,103694496,10,192581,20
S1F0VE35,187588664,8,246882,24
S1F0W45F,1138872,9,395979,28
S1F0WWHD,181479280,7,200170,27
S1F0X4RC,128123728,11,186573,26
S1F0XMNV,213632376,7,25,20
S1F0Y4H6,101803088,5,202286,21
S1F0Y6BM,83218880,8,186303,21
S1F0Y8MA,154007800,8,184631,21
S1F0YX6Z,55443312,8,186028,25
S1F100R5,30631360,7,228953,25
S1F101MC,71305576,10,199310,29
S1F101SP,169545904,8,199021,29
S1F1021H,175144544,11,225234,29
S1F102L8,78014208,6,176474,29
S1F1073Z,4461552,24,234483,29
S1F10AS0,56352656,10,408573,28
S1F10BNL,21102896,14,315465,28
S1F10BRH,141363512,10,198974,16
S1F10D0P,108664112,9,404299,20
S1F10E6M,210550904,7,202433,20
S1F10EBC,6930600,7,199536,23
S1F10FDX,80871264,11,200173,27
S1F10FF0,183223080,8,221181,31
S1F10FFZ,96811064,8,273108,23
S1F10FZB,140213216,16,318008,23
S1F10GDQ,46683120,7,198518,18
S1F10GSG,35488968,9,200930,24
S1F10HH5,135848152,9,398210,24
S1F10JL3,41328776,24,234308,25
S1F10NDB,177762928,8,198575,17
S1F10NM6,200844920,14,319699,30
S1F10P0S,195673072,7,398312,22
S1F10PED,206283000,5,184968,30
S1F10QDG,165588464,5,209667,30
S1F10QG6,125055248,6,200413,30
S1F10QH3,123353744,6,224446,27
S1F10QL8,235508256,6,185579,27
S1F10RKC,184182360,12,229518,31
S1F10RWZ,78297280,11,227267,31
S1F10V1N,52759440,10,401346,31
S1F10VJH,234023168,11,217694,31
S1F10VP8,111251480,25,197713,33
S1F114QM,174378984,9,402662,33
S1F114QR,22815136,9,262030,33
S1F115Z6,203855584,11,235921,37
S1F1162D,137321584,7,221864,37
S1F116H4,42447176,9,200468,37
S1F116J4,67698336,18,317731,33
S1F117PK,130685952,12,197739,29
S1F118JP,61260736,7,184770,33
S1F119X9,66121272,8,272553,25
S1F11A9R,151617168,23,226866,32
S1F11AK8,220954848,11,228808,32
S1F11AXR,90950360,11,202251,32
S1F11B1E,72570896,11,218812,25
S1F11C16,48121056,8,207349,25
S1F11CJC,113246064,13,226962,25
S1F11DBJ,182116904,12,229203,29
S1F11ETS,36149400,11,200035,19
S1F11G2C,75430408,16,313060,16
S1F11GG5,83472072,7,203446,32
S1F11K34,102223184,14,315843,32
S1F11KAY,32395064,5,201558,17
S1F11KQW,238145448,6,201059,17
S1F11L11,20470472,9,405623,17
S1F11MB0,173113976,5,198441,21
S1F11MT9,152128288,6,203233,21
S1F11S2Q,168506736,7,200752,21
S1F11S5B,208086480,11,184528,25
S1F11WEH,2364136,8,203497,25
S1F11XDA,7511752,10,185305,25
S1F11Y4K,229743248,14,306660,22
S1F11YHR,142337320,7,203790,22
S1F121LH,113768512,9,185068,22
S1F122HQ,9763400,11,185827,21
S1F122KD,150657008,8,220689,25
S1F12788,144712560,11,187809,28
S1F12XGM,38123936,8,231170,28
S1F12XJ4,140892928,14,218732,36
S1F12Y53,101633592,8,180700,17
S1F12ZAS,208105408,10,222202,17
S1F12ZQB,9472,12,233415,17
S1F12ZQN,71553712,7,200504,21
S1F12ZRR,54680184,8,229384,21
S1F12ZSD,113286728,13,218413,21
S1F12ZZ2,117585616,11,228824,21
S1F130GX,123741680,11,227544,23
S1F130JB,73536520,9,185451,23
S1F1318D,242855920,13,89384,23
S1F131F6,169715224,8,208680,27
S1F1327G,109711784,11,282440,27
S1F132A5,171067632,11,225862,27
S1F133YJ,176283696,13,226602,27
S1F13432,170004224,8,210925,31
S1F134QM,179599408,12,228506,31
S1F13589,145311040,16,309879,31
S1F1358N,57006824,24,225238,34
S1F1359T,200827536,9,403835,35
S1F135BR,18735096,16,316760,16
S1F135CE,156197488,11,400852,20
S1F135D3,90132896,12,228030,24
S1F135DG,141314680,11,197349,28
S1F135DN,154007872,10,403799,19
S1F135F0,182236760,9,237878,19
S1F135F2,176680576,7,198647,19
S1F135F3,192659464,14,317017,19
S1F135GA,52547800,8,184931,19
S1F135QH,137261088,13,403935,23
S1F135SZ,48366144,9,208537,23
S1F135TN,154805608,14,307061,23
S1F135WP,86245976,11,187093,23
S1F1360P,59012152,13,228280,27
S1F1360W,204867520,10,396071,27
S1F13619,199170368,9,183400,27
S1F13635,68491456,24,235056,27
S1F1364P,127052392,12,218872,27
S1F1365W,84456432,11,185393,31
S1F1368E,197543936,9,399177,31
S1F13699,243887072,7,199996,31
S1F136A5,126980544,12,185790,18
S1F136BS,116560184,9,200333,43
S1F136FG,13375616,12,223114,20
S1F136J0,229928576,16,312312,20
S1F136JY,116161744,9,274375,20
S1F136KG,64241192,11,233959,21
S1F136KJ,181551568,11,194026,21
S1F13B32,198748808,24,225791,21
S1F13BQX,206384544,9,282242,21
S1F13BTN,76084592,7,203839,22
S1F13CBB,69591968,24,225792,26
S1F13CMG,13085480,8,191581,26
S1F13GPY,155559768,16,307938,26
S1F13H80,85019344,9,199199,20
S1F13HPP,108895096,10,199241,27
S1F13HPR,49263816,8,183675,22
S1F13HWA,169064136,13,226445,26
S1F13JW4,165467440,8,178763,30
S1F13K7S,33789800,9,198365,26
S1F13K8E,203653672,12,198536,26
S1F13KBJ,211957760,12,229423,20
S1F13KBZ,145244576,11,198903,30
S1F13KC2,152307176,10,399656,22
S1F13KF6,224549048,9,200334,17
S1F13KG3,236174112,12,230095,24
S1F13KNV,125480768,9,201195,22
S1F13KZK,199426888,10,372072,22
S1F13M9A,60105352,25,226777,22
S1F13MAM,169058096,8,221430,24
W1F00CL9,63669880,16,289248,24
W1F034ZE,213031608,7,388997,20
W1F03CRZ,186038392,9,394987,20
W1F03D4L,50157120,14,321216,20
W1F03DP4,183879552,14,316310,23
W1F03E8C,70775040,9,403783,21
W1F03Y44,149857608,4,359997,21
W1F05X69,241237720,2,195363,21
W1F06QVP,137450888,8,300669,25
W1F06RAW,229332288,2,465170,25
W1F07EWB,152703072,16,202035,25
W1F08B0G,155280136,13,246820,22
W1F08EDA,91475480,25,554250,22
W1F08J1G,145392376,7,411357,29
W1F08KX5,92424136,7,392494,25
W1F08KZW,176558624,4,379505,29
W1F08PYR,60433864,10,391891,33
W1F08RHG,166274320,25,664245,37
W1F095DW,185178960,7,399299,41
W1F097FV,207723240,6,374013,27
W1F09H4J,195704528,7,403661,22
W1F09HBX,99173712,7,384127,22
W1F09WLS,61606144,4,358515,22
W1F0A27Q,46668536,7,394231,21
W1F0AQ9Q,168192472,3,400724,20
W1F0AQDE,29618352,7,391792,28
W1F0AQGD,160716760,7,400512,28
W1F0BJ6E,200497824,4,324107,28
W1F0DXT8,202965792,5,316499,23
W1F0ED5X,24673016,4,338435,19
W1F0F65G,1166808,9,219479,23
W1F0F6BN,113361680,12,225194,26
W1F0FEH7,91444696,9,200436,22
W1F0FKWW,86155208,13,190613,24
W1F0FML1,241033912,10,218564,18
W1F0FW0S,196878448,64,185793,25
W1F0FY92,46780840,12,198418,24
W1F0FYLJ,145705544,98,219662,22
W1F0FZPA,101109064,12,196842,26
W1F0G0NT,123327560,5,193394,24
W1F0G99N,242140232,22,194765,24
W1F0G9T7,231611456,10,200470,24
W1F0GCAZ,169297248,9,198690,20
W1F0GPGR,40353600,21,168788,20
W1F0H973,140721192,58,220196,20
W1F0H9RN,29461000,5,206069,19
W1F0HJWZ,18424912,63,219262,19
W1F0HNC5,50765192,59,219261,19
W1F0HPZK,5478480,7,281808,17
W1F0HR3T,55433040,22,194653,17
W1F0HSKB,133373552,16,201548,14
W1F0HT26,228781608,35,244351,23
W1F0HTQ2,166048112,13,282869,23
W1F0HYT8,127899984,15,190680,23
W1F0J7W7,106375448,95,224163,23
W1F0J9KM,59523760,9,256249,17
W1F0JA75,203707888,9,200926,22
W1F0JA9T,186704136,8,191127,19
W1F0JAZB,79747352,6,204429,32
W1F0JAZC,11625504,9,280108,23
W1F0JEB8,67923280,10,284628,22
W1F0JH87,235599120,8,200220,27
W1F0JHRJ,197245280,11,287093,23
W1F0JXDL,233729960,7,198059,28
W1F0JY02,45664136,5,195823,26
W1F0K9C1,125168000,11,285926,13
W1F0KAX2,37837056,7,278135,17
W1F0KCN8,162193888,6,293843,21
W1F0KCP2,88242808,6,280860,27
W1F0KCR5,4566464,8,190855,30
W1F0KCZ0,150045152,6,206399,25
W1F0KD20,25348496,17,217828,29
W1F0KD2K,16585848,6,205019,20
W1F0KD36,100908496,11,190197,24
W1F0KD3Y,150987232,11,449717,19
W1F0KD47,123419128,6,200330,19
W1F0KDDQ,128215776,7,205468,23
W1F0KG97,9334216,68,223385,23
W1F0KHHQ,138966296,11,285220,30
W1F0KJMC,98465816,7,206074,23
W1F0KRWP,25243032,7,290275,23
W1F0L2LC,188651040,29,248043,22
W1F0L2Q7,102324240,61,217077,22
W1F0L66L,89858840,6,170884,22
W1F0L6ZS,208176424,32,246180,26
W1F0LBD3,213426104,5,189387,26
W1F0LS71,115686192,8,280061,26
W1F0LSFS,178435976,6,192722,30
W1F0LYBN,123664400,6,206073,30
W1F0LYY0,55494896,5,233434,30
W1F0LZFB,210021816,9,189668,26
W1F0LZJX,7253976,13,444557,21
W1F0M02P,64291960,9,450496,22
W1F0M330,73898592,11,450798,22
W1F0M35B,1765736,7,242030,22
W1F0M46R,208150640,14,287216,26
W1F0M492,93335304,8,191176,26
W1F0M4BZ,73768200,8,294455,28
W1F0M6Y0,242532488,4,448908,28
W1F0MNDQ,193505144,6,190439,22
W1F0MW4S,163185568,8,185384,22
W1F0MZRT,215652096,11,247388,22
W1F0N0DC,149636888,16,219961,26
W1F0N84F,123236336,5,248735,26
W1F0NB60,4502688,11,191880,26
W1F0NBYN,128693200,6,186109,26
W1F0NF1S,177003496,11,280208,26
W1F0NNAH,130853120,10,129963,30
W1F0NZSK,28754712,35,247286,30
W1F0NZZZ,27479328,33,249181,30
W1F0P114,59684104,35,248464,29
W1F0P133,88663720,37,216273,24
W1F0P24E,5236712,33,216245,24
W1F0P2M4,54830624,20,194277,24
W1F0P2TN,31814680,12,283964,19
W1F0P33Z,4091240,14,193961,19
W1F0P37T,36774752,35,246660,17
W1F0P3FR,167275352,12,271931,19
W1F0P41T,221761312,32,247986,27
W1F0P49T,108745624,10,281940,17
W1F0P6E1,134806248,36,246250,21
W1F0PAXH,41481448,14,302283,24
W1F0PNA5,185403491,30,224801,24
W1F0Q8FH,208576224,40,218859,24
W1F0QE96,88542560,5,215433,24
W1F0QKJP,180819432,6,172697,24
W1F0QTJM,179059296,8,193845,28
W1F0R731,213430168,31,247273,28
W1F0R8W2,83173304,12,284415,28
W1F0RN8N,77573944,14,195653,32
W1F0RXV0,187201168,20,195571,32
W1F0S9SP,103406336,36,247388,32
W1F0SCL1,216424008,6,279771,32
W1F0SFJJ,12639488,10,185946,35
W1F0SGHR,162973840,35,250438,39
W1F0SJJ2,164095168,9,200800,28
W1F0SJNS,84680776,30,249417,23
W1F0SNW3,149497936,11,286134,46
W1F0SRG1,115192632,32,249669,32
W1F0SRNZ,15096496,13,202217,32
W1F0SVA7,105646616,14,194801,18
W1F0SWST,138593368,13,217902,22
W1F0SWXK,176631856,17,220539,23
W1F0T034,78748536,10,286540,23
W1F0T074,38676456,33,241617,26
W1F0T0B1,188705712,7,201053,26
W1F0T13Q,95200320,30,247476,26
W1F0T371,236841032,8,288036,30
W1F0T3AJ,38699120,9,287815,30
W1F0T3H5,112724984,7,192870,30
W1F0T3LK,76335720,30,249618,28
W1F0T474,155139184,11,297941,28
W1F0T960,182057832,37,250749,28
W1F0TA59,20594272,36,246392,23
W1F0TAEP,190372704,33,247177,23
W1F0TATM,139147720,31,204249,23
W1F0TCG0,54184680,13,243626,24
W1F0TGSS,94259680,12,281297,29
W1F0THAD,166546952,5,233087,31
W1F0THPN,36825208,21,193837,35
W1F0TJ66,15179720,90,220053,32
W1F0TK8P,144224632,9,197232,32
W1F0TQEE,147997976,7,262449,31
W1F0TXKY,30414760,10,192125,33
W1F0TYQ9,179057664,7,237888,24
W1F0V8CY,55593160,19,202572,19
W1F0VA0G,236879112,12,287852,23
W1F0VAS7,29906184,4,285128,22
W1F0VC83,36854256,9,284348,21
W1F0VDH2,202417864,35,246716,25
W1F0VDS7,52298320,15,196769,29
W1F0VF0M,85479624,13,202762,23
W1F0VFRE,239456296,12,286179,23
W1F0VJT2,105079944,12,190838,22
W1F0VJXT,116116288,12,189947,26
W1F0VKTT,96804152,9,186170,30
W1F0VKVH,170907544,10,187787,21
W1F0VL4Q,99755832,7,216969,25
W1F0VL6W,166176048,7,214224,25
W1F0VL7M,142481520,12,243636,25
W1F0VL9X,114118312,7,194209,24
W1F0VNT7,99220624,14,317217,22
W1F0VVMM,174052456,11,192031,21
W1F0VZF4,229341912,8,193496,25
W1F0VZFH,127246992,10,361249,29
W1F0W0RV,129791344,8,166682,
W1F0W1R9,90463784,8,303756,
W1F0W220,30932488,13,237409,
